SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
385,MH,Maharashtra,MH_Mumbai,Mumbai,92988,22540,64872,5288,288,1243,-242,1441,44,,
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,2022,635,1366,21,0,65,65,0,0,,
388,MH,Maharashtra,MH_Nanded,Nanded,572,297,251,24,0,19,16,0,3,,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,279,119,149,11,0,31,31,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,7080,2943,3847,290,0,196,98,90,8,,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,381,133,234,14,0,36,25,11,0,,
0,MH,Maharashtra,MH_Other State,Other State,195,164,0,31,0,12,11,0,1,,
392,MH,Maharashtra,MH_Palghar,Palghar,9744,4739,4817,188,0,401,349,44,8,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,200,94,101,5,0,14,12,2,0,,
394,MH,Maharashtra,MH_Pune,Pune,39125,21601,16427,1097,0,1769,1321,411,37,,
395,MH,Maharashtra,MH_Raigad,Raigad,8459,4567,3731,159,2,449,395,52,2,,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,870,239,601,30,0,13,-30,42,1,,
397,MH,Maharashtra,MH_Sangli,Sangli,597,252,330,15,0,19,11,8,0,,
398,MH,Maharashtra,MH_Satara,Satara,1709,659,981,68,1,76,58,18,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,257,47,205,5,0,0,0,0,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,3978,1557,2076,344,1,277,249,25,3,,
401,MH,Maharashtra,MH_Thane,Thane,61869,33733,26489,1646,1,2382,1674,660,48,,
402,MH,Maharashtra,MH_Wardha,Wardha,34,18,14,1,1,6,6,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,173,65,104,4,0,1,1,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,424,130,280,14,0,10,10,0,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,0,0,0,0,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,1,1,0,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,136,118,17,1,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,1,0,1,0,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,16,16,0,0,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,0,0,0,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,7,1,6,0,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,0,0,0,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,8,4,4,0,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,5,0,5,0,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,1,1,0,0,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,82,24,58,0,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,39,35,4,0,0,1,1,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,149,91,58,0,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,51,35,16,0,0,3,3,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,122,70,52,0,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,66,64,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,107,80,27,0,0,1,1,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,123,106,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,166,147,19,0,0,6,6,0,0,,
414,MN,Manipur,MN_Noney,Noney,25,7,18,0,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,32,17,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,172,151,21,0,0,5,5,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,191,159,32,0,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,14,1,13,0,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,67,44,23,0,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,203,185,18,0,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,27,10,15,2,0,2,1,1,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,16,11,4,1,0,3,3,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,31,2,29,0,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,63,20,42,1,0,3,3,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,51,18,33,0,0,3,-1,4,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,187,67,116,4,0,20,18,2,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,104,38,66,0,0,4,4,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,341,79,262,0,0,3,3,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,3502,739,2642,121,0,95,59,33,3,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,428,25,380,23,0,7,6,1,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,69,11,58,0,0,3,3,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,75,13,60,2,0,3,0,3,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,57,14,43,0,0,2,-1,3,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,63,18,44,1,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,258,41,207,10,0,1,1,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,196,18,170,8,0,3,3,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,31,1,30,0,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,32,14,16,2,0,3,3,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,906,428,475,3,0,18,-40,58,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,76,37,35,4,0,12,6,5,1,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,52,9,39,4,0,2,2,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,5260,1014,3981,265,0,84,55,25,4,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,542,129,399,14,0,24,14,10,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,45,28,16,1,0,3,2,1,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,30,11,16,3,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,402,79,306,17,0,9,-1,10,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,375,72,288,15,0,19,18,1,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,7,1,5,1,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,186,55,122,9,0,10,10,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,945,458,482,5,0,0,-6,6,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,36,6,30,0,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,496,49,439,8,0,9,8,1,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,12,4,8,0,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,58,20,38,0,0,0,-1,1,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,117,5,107,5,0,3,3,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,121,28,86,7,0,7,6,1,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,222,49,167,6,0,7,4,3,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,85,25,59,1,0,14,11,3,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,446,49,375,22,0,5,-1,6,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,49,11,36,2,0,1,0,1,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,47,33,12,2,0,7,7,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,20,7,13,0,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,30,8,22,0,0,2,2,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,108,46,59,3,0,6,6,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,102,22,78,2,0,1,-2,3,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,148,111,36,1,0,2,1,0,1,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,31,11,19,1,0,3,3,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,31,15,16,0,0,2,0,2,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,112,61,46,5,0,5,0,5,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,887,29,787,71,0,7,5,2,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,25,15,9,1,0,1,1,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,92,39,53,0,0,13,7,6,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,85,47,38,0,0,4,4,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,10,2,8,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,0,0,0,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,3,0,3,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,12,1,11,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,12,4,8,0,0,0,0,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,58,11,47,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,20,0,20,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,23,14,9,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,3,0,3,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,5,2,3,0,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,46,46,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,159,130,29,0,0,18,18,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,4,4,0,0,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,82,67,15,0,0,1,0,1,0,,
443,NL,Nagaland,NL_Longleng,Longleng,2,2,0,0,0,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,4,4,0,0,0,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,101,101,0,0,0,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,292,271,21,0,0,0,-5,5,0,,
447,NL,Nagaland,NL_Phek,Phek,18,9,9,0,0,4,-4,8,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,49,49,0,0,0,3,3,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,11,11,0,0,0,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,6,6,0,0,0,0,0,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,133,27,105,1,0,0,-5,5,0,,
452,OR,Odisha,OR_Balangir,Balangir,261,49,212,0,0,1,1,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,519,122,395,2,0,11,2,9,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,171,25,145,1,0,3,-3,6,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,293,29,261,3,0,11,8,3,0,,
455,OR,Odisha,OR_Boudh,Boudh,53,8,45,0,0,0,-3,3,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,998,248,741,9,0,11,-60,71,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,66,4,62,0,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,95,16,79,0,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,613,173,439,1,0,20,20,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,3864,1639,2185,40,0,230,121,106,3,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,394,92,302,0,0,5,1,4,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,896,342,553,1,0,97,72,25,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,165,37,128,0,0,0,0,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,83,7,76,0,0,4,-1,5,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,193,8,185,0,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,298,27,269,2,0,2,-3,5,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,295,113,181,1,0,3,0,3,0,,
469,OR,Odisha,OR_Khordha,Khordha,1307,410,883,14,0,76,59,15,2,,
470,OR,Odisha,OR_Koraput,Koraput,139,88,51,0,0,44,40,4,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,170,69,101,0,0,36,36,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,341,87,252,2,0,14,-24,38,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,89,11,77,1,0,0,-24,24,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,270,93,177,0,0,5,3,2,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,86,4,82,0,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,363,95,265,3,0,10,8,2,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,141,17,123,1,0,2,2,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,113,21,92,0,0,2,-20,22,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,44,7,37,0,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,668,419,247,2,0,8,-30,38,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,1062,192,817,53,0,22,20,0,2,,
486,PB,Punjab,PB_Barnala,Barnala,74,17,55,2,0,0,-6,6,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,141,42,95,4,0,12,4,8,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,153,45,108,0,0,1,1,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,146,24,120,2,0,2,0,2,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,105,8,97,0,0,0,-1,1,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,157,65,89,3,0,2,-2,4,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,288,48,232,8,0,1,1,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,196,12,177,7,0,2,-3,5,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,1223,522,676,25,0,36,36,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,128,33,89,6,0,2,1,1,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,1376,457,888,31,0,60,-217,277,0,,
497,PB,Punjab,PB_Mansa,Mansa,63,13,50,0,0,6,1,5,0,,
498,PB,Punjab,PB_Moga,Moga,143,38,101,4,0,0,-5,5,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,246,27,211,8,0,2,-1,2,1,,
500,PB,Punjab,PB_Patiala,Patiala,584,349,223,12,0,21,21,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,128,21,106,1,0,4,4,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,391,110,274,7,0,23,6,17,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,641,112,510,19,0,12,2,9,1,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,213,67,145,1,0,23,18,5,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,146,7,138,1,0,2,-3,5,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,217,21,191,5,0,1,1,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,96,52,42,2,0,10,9,1,0,,
482,PY,Puducherry,PY_Mahe,Mahe,21,3,18,0,0,0,0,0,0,,
483,PY,Puducherry,PY_Puducherry,Puducherry,1276,581,679,16,0,71,23,48,0,"21 cases(16 of TN, 1 of AP & 4 other) have been transferred,so have been reduced from the total count",
484,PY,Puducherry,PY_Yanam,Yanam,25,25,0,0,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,760,213,523,24,0,33,25,8,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,1208,785,417,6,0,93,69,24,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,104,5,97,2,0,2,2,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,76,8,64,4,0,0,-2,2,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,697,262,431,4,0,24,7,17,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,1971,245,1685,41,0,17,6,11,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,290,22,262,6,0,1,-3,4,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,893,581,291,21,0,31,31,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,54,4,50,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,22,8,14,0,0,4,4,0,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,215,4,205,6,0,0,0,0,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,385,55,328,2,0,8,8,0,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,212,34,174,4,0,2,-6,8,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,837,115,711,11,0,18,9,9,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,489,34,454,1,0,1,-5,6,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,72,22,47,3,0,1,-1,2,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,129,58,70,1,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,3911,656,3082,173,0,53,52,0,1,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,118,7,111,0,0,0,0,0,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,584,287,294,3,0,30,14,16,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,380,2,378,0,0,0,0,0,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,454,35,416,3,0,4,0,4,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,3819,970,2784,65,0,156,137,19,0,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,140,32,104,4,0,9,6,3,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,805,68,710,27,0,28,19,9,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,927,280,629,18,0,16,13,0,3,,
0,RJ,Rajasthan,RJ_Other State,Other State,164,92,41,31,0,6,6,0,0,,
532,RJ,Rajasthan,RJ_Pali,Pali,1506,275,1216,15,0,70,35,35,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,147,131,15,1,0,2,2,0,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,370,79,290,1,0,1,-22,23,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,131,24,98,9,0,2,2,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,704,70,627,7,0,11,-13,24,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,671,149,514,8,0,17,9,7,1,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,214,9,203,2,0,0,-1,0,1,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,870,158,705,7,0,4,0,3,1,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,104,49,42,0,13,4,4,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,1,0,1,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,38,12,26,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,21,10,11,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
576,TG,Telangana,TG_Adilabad,Adilabad,79,64,15,0,0,4,4,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,77,73,4,0,0,3,3,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
578,TG,Telangana,TG_Hyderabad,Hyderabad,26574,26246,305,23,0,800,800,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
579,TG,Telangana,TG_Jagtial,Jagtial,50,48,2,0,0,4,4,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
580,TG,Telangana,TG_Jangaon,Jangaon,100,99,1,0,0,6,6,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,25,25,0,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,77,51,25,1,0,7,7,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
583,TG,Telangana,TG_Kamareddy,Kamareddy,87,79,8,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
584,TG,Telangana,TG_Karimnagar,Karimnagar,268,252,16,0,0,23,23,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
585,TG,Telangana,TG_Khammam,Khammam,133,130,3,0,0,1,1,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,29,27,2,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,67,66,1,0,0,8,8,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,190,182,8,0,0,17,17,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
589,TG,Telangana,TG_Mancherial,Mancherial,113,112,0,1,0,3,3,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
590,TG,Telangana,TG_Medak,Medak,172,168,4,0,0,14,14,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,1480,1470,9,1,0,94,94,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
592,TG,Telangana,TG_Mulugu,Mulugu,36,34,2,0,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,53,51,2,0,0,23,23,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
594,TG,Telangana,TG_Nalgonda,Nalgonda,260,248,12,0,0,15,15,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
595,TG,Telangana,TG_Narayanpet,Narayanpet,22,21,0,1,0,0,0,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
596,TG,Telangana,TG_Nirmal,Nirmal,46,33,13,0,0,4,4,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
597,TG,Telangana,TG_Nizamabad,Nizamabad,213,183,30,0,0,11,11,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
598,TG,Telangana,TG_Peddapalli,Peddapalli,52,51,1,0,0,9,9,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,97,95,2,0,0,3,3,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,2388,2369,17,2,0,132,132,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
601,TG,Telangana,TG_Sangareddy,Sangareddy,393,387,6,0,0,36,36,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
602,TG,Telangana,TG_Siddipet,Siddipet,53,52,1,0,0,3,3,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
603,TG,Telangana,TG_Suryapet,Suryapet,180,156,24,0,0,7,7,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
604,TG,Telangana,TG_Vikarabad,Vikarabad,93,77,15,1,0,6,6,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,45,45,0,0,0,15,15,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,171,171,0,0,0,2,2,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,260,237,23,0,0,12,12,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,49,49,0,0,0,7,7,0,0,,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,422,96,326,0,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,981,540,440,1,0,14,10,4,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,-3,0,3,0,0,0,0,0,,
